"spotify_id","name","genres","popularity","followers","gender","artist_type","degree"
"5x24CqyDaYbM6OUjxLYkUo","Martina Lluvias","chilean indie.nueva trova chilena",26,10588,NA,NA,4
"0S7gyQcve5aVdbPiUjym4H","Congreso","chilean rock.musica andina.psicodelia chilena",40,90984,"m","group",8
"3BnHs3tD86l2OGH6k6tpGv","La Fórmula","cumbia chilena",20,4769,NA,NA,1
"7FUvwgQOS0JMHnlm08PlQd","Talismanes del Ritmo y del amor","cumbia ranchera",43,36382,"m","group",2
"1BnQrx8p0bHBpidjIGq26z","Los Pincheira del Sur","cumbia ranchera",44,46992,"m","group",10
"1pdmhuBAqiOFaFuXRvLoyy","Macha Y El Bloque Depresivo","chilean rock",54,121743,"m","group",1
"6jhJHMFfgAmkO0VRyRvtro","Carmen Maureira","nueva ola chilena",20,3764,NA,NA,1
"611NNAaTv1EVgf1066jhzQ","Osvaldo Torres","musica andina chilena.nueva cancion",8,2204,NA,NA,1
"3poRvxocbLlXT9rER89tAs","Santiago Berrio",NA,44,2371,"m","solo",1
"4kKazhy9tDfOgKSWm5g3F9","Katteyes",NA,53,360678,"f","solo",1
"7kR5ApwlIHd7ket5zyDwTC","Felicia Morales","chilean indie.pop electronico",16,4170,NA,NA,5
"6zWLSfAWJ35c78VgLRs7EY","Los Potros Del Sur","cumbia ranchera",38,34559,"m","group",7
"2TWZQ4y2NiKnrwfM0BSEED","Grupo 7 Machos","cumbia ranchera",38,13733,"m","group",1
"04Z3mRXKnp5PmZcJ8QCULt","De Saloon","chilean rock.concepcion indie",47,157224,"m","group",1
"3D3id8MJojsRORQb64SG3O","Rene Inostroza","nueva cancion",32,29218,"m","solo",2
"6qSkZrS7Xdje9DVRXlNmpE","Buddy Richard","chilean rock.nueva ola chilena.pop romantico",39,85854,"m","solo",16
"563WRI9dfOxQmHUooyJgW8","Natalino",NA,41,103235,"m","group",3
"00q1iEmkH6dNeT4Os4mAOv","Grupo el duelo","cumbia ranchera",37,10529,"m","group",2
"61ESBW22G7bIofegPDi3uA","Voltaje",NA,34,19840,"m","group",1
"4KruP5THAhH04L3Gwmzm9w","Canal Magdalena","chilean rock",12,14369,NA,NA,5
"25iPZnrdjEMSYXjUxdfgc6","Los Hermanos Campos","cueca chilena.folklore chileno",29,37023,"m","group",1
"7LM1I2nIhWByOdM5S5xoyX","Gabigar","pop chileno",23,2024,NA,NA,3
"4HZb1I1ON6nfxpMmMPql6B","Los Tigres de Parral","cumbia ranchera",44,42694,"m","group",12
"1uf5mwjVjGlTj38TRAB4k8","Los Kuatreros Del Sur","cumbia chilena.cumbia ranchera",38,27376,"m","group",1
"1t9D6kTl718QQilLBXKBoh","Luis Pedraza","pop chileno",21,14321,NA,NA,3
"6c0qylj1D1gqcUUN2P8Ofp","Javiera Mena","chilean indie.chilean rock.electronica chilena.pop chileno.pop electronico",47,178346,"f","solo",16
"6g293XK6eqwkHOsP2m4ru1","Huasos De Algarrobal","folklore chileno",20,7148,NA,NA,1
"1SvxElxxHBvKujNu4UsfNx","Pachuco y La Cubanacán","cumbia chilena",32,35676,"m","group",1
"3WMtbTa4xgtx9GJ9dPAJ7E","ataquemos",NA,44,35306,"m","solo",1
"6GSnSFc0O2JMkPkGcBFsNc","Cancamusa",NA,37,24867,"f","solo",4
"2Opt7rOoRZUD0rujGcGqGL","byeduardito",NA,34,8392,"m","solo",1
"0TE3FlkFJ5OgdyulXv99iX","Cristóbal Briceño","chilean indie.chilean rock",36,25373,"m","solo",2
"35qSQ3Rr7VGXFyB8qimJUq","Los Charros de Luchito y Rafael","cumbia chilena.cumbia ranchera",49,48560,"m","group",27
"2lvn0dSSamgNsFZPaJPzoR","3TRIPLE J",NA,41,15695,"m","solo",1
"7EP6QHjz7FSJZBVjDuAmas","Los Miserables","chilean hardcore.chilean rock.ska chileno",40,136690,"m","group",1
"4Dqwi7dnhN0j8X1i98mdKG","Jorge González","chilean indie.chilean rock",36,116994,"m","solo",3
"6SwRy6PTx8ehNGCdcDp3mt","Teleradio Donoso","chilean indie.chilean rock",36,71314,"m","group",1
"5MbC0GPijb60evRCEQLJAz","Mariel Mariel","chilean indie.deep latin alternative",35,15266,NA,NA,5
"73jlslw4ZXYZ9kgh0kY2mU","Simón Campusano","chilean indie",30,12593,NA,NA,3
"6v6v20hL82eZfIRpGeocjj","Mamma Soul","chilean rock.latin funk",23,42242,NA,NA,1
"47i4noBzl5Os351Qlmxuia","Paula Rivas","cumbia chilena",39,8270,"f","solo",14
"3fum98bRuzJluGoYRqInHE","Los Tukas del Sur","cumbia chilena.cumbia ranchera",35,40579,"m","group",1
"0K2U7B6n9Otcwn19m7tGzO","Cecilia","nueva ola chilena",35,21741,"f","solo",3
"2v63mEwpd09o5Oo3ALq0l6","Javier Barría","chilean indie.chilean rock",25,17085,NA,NA,4
"4MjgWorqPJ7J6Dnlm5POD1","La Muza","reggae en espanol",39,20697,"unknown","unknown",1
"0IbRsXxQF51TMsTaVNfeqA","Gonzalo Yañez","chilean rock",30,23683,"m","solo",14
"4lB2TSTALeQLZiwak6fKHX","Billy Bunster","latin christian.latin worship",43,69715,"m","solo",1
"1dJfjAj2mnpKrGm8ldBjNG","Agrupación Marilyn","cumbia chilena.cumbia paraguaya.cumbia villera",57,311650,NA,NA,1
"5yrOkBwyi9ePzOYQX4V3iW","José Alfredo Fuentes","nueva ola chilena",36,18878,NA,NA,8
"6Hs8U0JO2nacXFG4kp15Co","Chico Trujillo","chicha.chilean rock.cumbia chilena.latin alternative",53,269271,"m","group",3
"5rJG5I7ZC5C51fXEyV5E6V","Demian Rodríguez","nueva trova chilena",27,11353,NA,NA,2
"6IcXD8DoXOqLkvwpOFTFbf","Los Flores de Rucalhue","cumbia ranchera",33,37498,"m","group",8
"6GyTAMonsoBJtojDYu7qg0","Keko Yunge","pop chileno",31,16500,NA,NA,1
"3K8xLmnOqUqGGaLzL0DvL3","pau","chilean indie",24,4898,NA,NA,2
"5vA7SVYlKJGW6NGkKaSEax","Patio Solar","chilean indie",34,35939,"m","group",1
"7mirwC8eaTt7tswix93TFZ","Rosario Alfonso","chilean indie",37,16391,"f","solo",10
"1EgVsKobLzbNgILxx9wrVG","31 Minutos","chilean rock.ska chileno",54,370554,"m","group",2
"1XfppfgRosYjV7yZfLPUH0","Los Lumaquinos Alegres","cumbia ranchera",46,60899,"m","group",17
"33TuJe4aKhcIps7wxKmfzm","Andres De Leon","pop chileno",40,84526,"m","solo",4
"6VQxtEeYFtNENvE6Qsvlan","María Colores","chilean indie.chilean rock",20,8717,NA,NA,1
"0M8uC0u1YRUGCieOKmQF02","Alex Anwandter","chilean indie.chilean rock.pop electronico",45,131568,"m","solo",1
"7AfIBbjDpPR6FlLWLsAcHu","Sistek",NA,50,35984,"m","solo",1
"2obZTQu3NO5oRcIZKY9fOh","Criminal","chilean metal",20,21221,"m","group",1
"2lTF1MmR07DhexciHsSTE9","Los Bandoleros Del Sur","cumbia chilena.cumbia ranchera",27,22542,"m","group",11
"7ah2GYpn05JkpAIk7vop8g","Chinoy","chilean indie.chilean rock.nueva cancion",32,40660,"m","solo",3
"06hxCeDcTDV3cuOyws488C","Angel Parra Trio","jazz chileno.nueva cancion",27,34552,"m","group",2
"0Dz64lyAnwZJDpF98j0ntV","Magdalena Matthey","nueva trova chilena",24,11106,NA,NA,8
"46KmqHQ1EfYqQtO7r77AMp","Chancho En Piedra","chilean rock.cumbia chilena.latin funk.latin rock.ska chileno",49,258048,"m","group",14
"3m6rsPYI2szH1eab4Gu74U","BBS Paranoicos","chilean hardcore.chilean rock.punk chileno.punk melodico chileno",38,45310,"m","group",2
"6TohVx7C5O24NqelCsIdfs","Arranquemos del Invierno","chilean indie.concepcion indie",23,11716,NA,NA,3
"4o3U8RAOoLpRDFvqKoJYvA","Fernando Ubiergo","nueva cancion",35,52072,"m","solo",2
"12zgyV8SaxwtdtS3E7mCUj","Líderes de Chile","cumbia ranchera",42,9709,"m","group",6
"4BsdSj5TfV0HQiUwdRBQbk","Seba Alfaro","chilean indie",29,10841,NA,NA,1
"7FfKue3foqwcKAUi36xsh9","Dj Bitman","chilean indie.latin funk",22,16105,NA,NA,1
"22QaKKmBIH3QiotuG30W3o","Santaferia","cumbia chilena",59,1294275,NA,NA,6
"6iGoMyoSIjyTxbCRyHREtI","Sol y Lluvia","chilean rock.musica andina chilena.nueva cancion",37,138538,"m","group",8
"4cCVNFShP38zaKGuo8QSMN","Inti-Illimani","musica andina.musica andina chilena.nueva cancion.trova",46,266994,"m","group",13
"0lU35vHpvzadavslHv2pVV","Los Llaneros De La Frontera","cumbia chilena.cumbia ranchera",48,105698,"m","group",3
"5cD6bctPV8wtKpO4o8ZtTQ","Dulce y Agraz","chilean indie.chilean rock.concepcion indie",30,38331,"f","solo",23
