"spotify_id","name","genres","popularity","followers","gender","artist_type","nacionalidad","genero_r"
"1Yj5Xey7kTwvZla8sqdsdE","Cris Mj","mambo chileno.trap latino.urbano chileno.urbano latino",86,3195608,"m","solo","chileno","urbano_chileno"
"35oGZihZclGoTVuICPXRP9","Jere Klein","reggaeton chileno",76,1835216,"m","solo","chileno","urbano_chileno"
"4yxLYO2imECxGYTTV7RQKb","Pailita","drill chileno.urbano chileno.urbano latino",67,1441401,"m","solo","chileno","urbano_chileno"
"1fIJZfSmqQkuqfKNRmrS1V","El Jordan 23","mambo chileno.urbano chileno",67,1394370,"m","solo","chileno","urbano_chileno"
"2XcZshqzPKm3iZcmt73R8D","Pablo Chill-E","trap chileno.urbano chileno.urbano latino",73,1297182,"m","solo","chileno","urbano_chileno"
"5CAruGjgds3QlF5ICtEnnc","Jairo Vera","mambo chileno.urbano chileno",66,1204951,"m","solo","chileno","urbano_chileno"
"7rOlQwf8OuFLFQp4aydjBt","Paloma Mami","latin pop.reggaeton chileno.trap chileno",62,1142622,"f",NA,"chileno","urbano_chileno"
"5XQWXnMwsvuvCPMneXUbsy","Marcianeke","reggaeton chileno.urbano chileno",62,1054370,"m","solo","chileno","urbano_chileno"
"5pughe5rcsOq3GF0utMOs5","DrefQuila","reggaeton chileno.trap chileno.urbano chileno",68,1028506,"m","solo","chileno","urbano_chileno"
"0rjms710nwQTdrQheXHJfz","Standly","urbano chileno",68,1020160,"m","solo","chileno","urbano_chileno"
"50u2mXgysmTttY0BizYWAo","Movimiento Original","rap chileno",60,907960,"m","group","chileno","rap"
"7HYJrA3HSTNDmkl5pylhaY","Gino Mella","reggaeton chileno.urbano chileno",64,888792,"m","solo","chileno","urbano_chileno"
"1SiLK8gdECx2iEm2SSj0Bl","Ak4:20","urbano chileno.urbano latino",64,811978,"m","solo","chileno","urbano_chileno"
"6rHwFb0YjWexAYxTjm4eIj","Nickoog Clk","mambo chileno.urbano chileno",64,607969,"m","solo","chileno","urbano_chileno"
"4IC2X34tZmHG3VfTbpzvwL","Julianno Sosa","urbano chileno",64,576761,"m","solo","chileno","urbano_chileno"
"768O5GliF0bqscyghggrbE","PolimÃ¡ Westcoast","trap chileno.trap triste.urbano chileno",65,564424,"m","solo","chileno","urbano_chileno"
"0Yg29FX1M4ayqjXs0ttZFq","Young Cister","trap chileno.urbano chileno",69,533151,"m","solo","chileno","urbano_chileno"
"7CvTknweLr9feJtRGrpDBy","FloyyMenor","reggaeton chileno",81,462333,"m","solo","chileno","urbano_chileno"
"11HepfI1lj6KJHj651rZhM","Lucky Brown","urbano chileno",71,448399,"m","solo","chileno","urbano_chileno"
"2IAxPmQzx2NuutHe7ta7gs","Bayron Fire","urbano chileno",56,445220,"m","solo","chileno","urbano_chileno"
"0MlQeZCQnaFSGv9gRiE1rD","STRANGEHUMAN","urbano chileno",54,444302,"m","solo","chileno","urbano_chileno"
"40JMTpVRUw90SrN4pFA6Mz","Ana Tijoux","chilean rock.latin alternative.latintronica.rap chileno.rap feminino chileno.rap latina.rap politico",58,435649,"f","solo","chileno","rap"
"12wTrvRwxmsbUxkLffkPfv","Chystemc","rap chileno.venezuelan hip hop",56,430485,"m","solo","chileno","rap"
"2vnaEm73LHWfchNiQccNBa","El BAI","reggaeton chileno",65,405245,"m","solo","chileno","urbano_chileno"
"4xZrvfK8khgRIXk63gSFeB","Piero 47","drill chileno.trap chileno",57,399524,"m","solo","chileno","urbano_chileno"
"7DXregrznS25AM30UY9sUU","King Savagge","mambo chileno.urbano chileno",60,378259,"m",NA,"chileno","urbano_chileno"
"271TPCWy79Q4utmSP6uSQg","Portavoz","boom bap espanol.rap chileno.rap conciencia.rap politico.venezuelan hip hop",53,342438,"m","solo","chileno","rap"
"0NnUMWDCDi1snuMja6IdxH","Harry Nach","trap chileno.urbano chileno",63,335546,"m","solo","chileno","urbano_chileno"
"0x5lhIYknBUEozHuXjkwUs","Galee Galee","drill chileno.urbano chileno",58,325756,"m","solo","chileno","urbano_chileno"
"29fcEFHRcOhfTYXvS8POPV","Bayriton","urbano chileno",57,324767,"m","solo","chileno","urbano_chileno"
"0LshXUmIub6xKvOq4QmtNs","ITHAN NY","drill chileno.urbano chileno",62,314330,"m","solo","chileno","urbano_chileno"
"10VBp06W8NIgMW4JruLCC4","Kidd Voodoo","urbano chileno",72,307167,"m","solo","chileno","urbano_chileno"
"1F6ZW5IEGN0HB9LTtldRq0","Arte Elegante","rap chileno.urbano chileno",56,291426,"m","solo","chileno","rap"
"3k090bKo2iSqNdowffKHrt","Balbi El Chamako","mambo chileno.reggaeton chileno.urbano chileno",56,287151,"m","solo","chileno","urbano_chileno"
"7AiFAkvE8VYLDdsmLC78ik","Bubaseta","rap chileno",55,260108,"m","solo","chileno","rap"
"7thOJx5gcuoJcEcaoHsPAk","El Futuro Fuera De Orbita","urbano chileno",44,239004,"m","solo","chileno","urbano_chileno"
"2OEZ0KKJrKXsRQ6hU9bbfS","Kevin Martes 13","reggaeton chileno.trap chileno",45,237010,"m","solo","chileno","urbano_chileno"
"6J9Vq69rGl3fJftWDT8jaK","Shamanes Crew","dancehall chileno.rap chileno",49,228206,"m","group","chileno","rap"
"3ZfYo6sKskRv0wOyrZZdAj","Sayian Jimmy","urbano chileno",62,226794,"m","solo","chileno","urbano_chileno"
"6hYxQDiGct9yfRlSEv3F8a","Simon la Letra","reggaeton chileno",54,222623,"m","solo","chileno","urbano_chileno"
"684u8s013RfmUxevD9PK3B","Giuliano Yankees",NA,58,204241,"m","solo","chileno","urbano_chileno"
"20BNHnI2SfySwLwWCAu4ew","Drakomafia","mambo chileno",53,198168,"m","solo","chileno","urbano_chileno"
"6WzyAaCTzd5YoVMwdin58T","Il Nene De Oro","drill chileno",57,193423,"m","solo","chileno","urbano_chileno"
"6Auet21YaPDui2ManqgAFc","Liricistas","rap chileno",43,182330,"m","group","chileno","rap"
"0wWmUneAuhQn9L3qibj5UO","Tommy Boysen","reggaeton chileno.urbano chileno",51,180707,"m","solo","chileno","urbano_chileno"
"6Fz1LTRJ7RAuUf1CRSN3dU","Gabo El Chamaquito","mambo chileno",47,165280,"m","solo","chileno","urbano_chileno"
"0lTSSQrxOMu4Keh48GrIkX","King Kong Click","rap chileno",51,161776,"m","group","chileno","rap"
"4xEDJHMQ8PN1U2pEldwI6O","Easykid","trap argentino.trap chileno",67,156539,"m","solo","chileno","urbano_chileno"
"0QpMp8Y7jFzwCt8OZjKQdd","Tunechikidd","urbano chileno",54,153112,"m","solo","chileno","urbano_chileno"
"7q9P9jadKe86eEavevbEvK","Gianluca","neoperreo.reggaeton chileno.trap chileno",43,148387,"m","solo","chileno","urbano_chileno"
"2j6Up11EpEUKQ5yIfFXhdU","Forest","mambo chileno.reggaeton chileno",48,139745,"m","solo","chileno","urbano_chileno"
"580taoAhpqvyGCRoJsVdw9","Ceaese","neoperreo.trap chileno.urbano chileno",49,138997,"m","solo","chileno","urbano_chileno"
"1R4SZjsnu91VWf5BhkKdH0","Mamborap","rap chileno",46,137269,"m","group","chileno","rap"
"41vcoPejPG3vv8emJ2R5Ox","Pablito Pesadilla","urbano chileno",50,132877,"m","solo","chileno","urbano_chileno"
"6JjrF0EnCW3Ylj9gj3FXWZ","Gran Rah","rap chileno",42,130571,"m","solo","chileno","rap"
"2YB75f3AI0PqcfW4kQ4kIz","Nvscvr","trap chileno.trap triste",51,130474,"m","group","chileno","urbano_chileno"
"4ddGNvJbt4sq3OaCCzAPV9","Jonas Sanche","boom bap espanol.rap chileno",46,129322,"m","solo","chileno","rap"
"0fTQ3jEDT1eDQG3URLTwEo","Carlitos Junior","reggaeton chileno",40,123818,"m","solo","chileno","urbano_chileno"
"2zfwez4uxbP8NcFy3kaNLF","Kiddtetoon","trap chileno.urbano chileno",45,115229,"m","solo","chileno","urbano_chileno"
"5vuvIhz2SwFX9sA976g49F","Matiah Chinaski","rap chileno",48,110252,"m","solo","chileno","rap"
"4GzcC1X5GRX9ndJ5TXIk2C","Yiordano Ignacio","reggaeton chileno",40,108175,"m","solo","chileno","urbano_chileno"
"4L5QHhmkOdVWH91Kz0uLPg","Aerstame","rap chileno",47,106002,"m","solo","chileno","rap"
"6IaOUkLKnYH0q8Vm2AdhQ5","Z Jocker","urbano chileno",48,103563,"m","solo","chileno","urbano_chileno"
"5GpRyfJV04fcnHBDzfVb8V","Lleflight","trap chileno.urbano chileno",52,101124,"m","solo","chileno","urbano_chileno"
"5NenY2Jl9wwLRxf86go4Y8","Fran C","reggaeton chileno",58,99566,"m","solo","chileno","urbano_chileno"
"3a6xRggiZz6O1Zvmg8RJfV","Salvaje Decibel","rap chileno.rap conciencia.rap politico",38,94620,"m","group","chileno","rap"
"3XaUjViDzB8N9bPqPeoWk5","Makiza","latin funk.rap chileno.rap conciencia.rap politico",35,93823,"m","group","chileno","rap"
"0dQUkvpKTvHbsTxXKcIN0S","Adan La Amenaza","mambo chileno.urbano chileno",62,92538,"m","solo","chileno","urbano_chileno"
"4CQCHM6ILHdfaJiIE4guaS","Cidtronyck","rap chileno",51,91636,"m","solo","chileno","rap"
"2BJWqrBKEqtZUKWtzmpPDj","Tobal Mj","urbano chileno",54,91221,"m","solo","chileno","urbano_chileno"
"4BVarZvmLXaXGwBvjt8HEZ","Mente Sabia CrÃº","rap chileno",37,89392,"m","group","chileno","rap"
"3McbjZPGQECT5OMujemGpi","Adickta SinfonÃ­a","rap chileno",35,87994,"m","group","chileno","rap"
"54U7OiU7yC2eB4Ij71sqlW","Droow","trap",41,86918,"m","solo","chileno","urbano_chileno"
"4jUVJzcthHyWbl6IwK5EOl","Dainesitta","urbano chileno",38,82437,"f","solo","chileno","urbano_chileno"
"1TBQTmzjUEJL0EzbsTroN5","Nfx","rap chileno",44,82305,"m","solo","chileno","rap"
"6fDFw5ZF2hKa52oH1enbks","Chiko Alfa","urbano chileno",50,79753,"m","solo","chileno","urbano_chileno"
"7FavRzQTgusKjQCqvO4xXY","Cevlade","rap chileno.rap conciencia",38,79213,"m","solo","chileno","rap"
"3AuVD85Q1DtjeJTEzlaMBF","Baby J & MLSHBTS","trap chileno",48,76328,"m","group","chileno","urbano_chileno"
"1GiKprzvYnLD4hBNxaA50l","JulianoChieff","urbano chileno",48,74563,"m","solo","chileno","urbano_chileno"
"1FuJ52kzTUVS0HITGdgkLD","Malito Malozo","urbano chileno",45,74176,"m","solo","chileno","urbano_chileno"
"6EQAbr4kKwE4EaGBzUpONu","Hordatoj","rap chileno",41,74170,"m","solo","chileno","rap"
"3Dz4sliAAIVOlALfHW9TtD","Tomasa del Real","neoperreo.rap latina",33,72029,"f","solo","chileno","urbano_chileno"
"0qo0qirBort7v7IMWHVC3c","Benji Gramitos","drill chileno.urbano chileno",40,69848,"m","solo","chileno","urbano_chileno"
